Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
F H Allen,Finn Allen,2022-,22,21,582,0,96,27.71,0,0,  -,  -,
A Ashok,Adithya Ashok,2023-,3,1,10,0,10,10,2,0,60,7.42,
T A Blundell,Tom Blundell,2020-,12,12,266,0,68,29.56,0,0,  -,  -,
T A Boult,Trent Boult,2012-,114,52,216,0,21,9,211,16,24.39,5,
C J Bowes,Chad Bowes,2023-,6,6,99,0,51,16.5,0,0,  -,  -,
M G Bracewell,Michael Bracewell,2022-,43,37,956,2,140,36.77,37,2,37.16,4.91,
M S Chapman,Mark Chapman,2018-,30,26,781,2,132,33.96,0,0,  -,  -,
K D C Clarke,Kristian Clarke,2026-,3,2,35,0,24,35,7,0,26.14,6.78,
J A Clarkson,Josh Clarkson,2023-,6,5,37,0,16,7.4,3,0,43.33,6.19,
D P Conway,Devon Conway,2021-,43,42,1692,5,152,43.38,0,0,  -,  -,
J A Duffy,Jacob Duffy,2022-,19,7,12,0,4,12,35,0,24.26,5.91,
L H Ferguson,Lockie Ferguson,2016-,65,30,122,0,19,7.18,99,3,31.56,5.68,
Z G Foulkes,Zak Foulkes,2024-,9,5,49,0,22,24.5,13,1,25.92,5.62,
D Foxcroft,Dean Foxcroft,2023-,4,4,149,0,75,37.25,2,0,43,4.91,
M J Hay,Mitchell Hay,2024-,10,7,186,0,99,31,0,0,  -,  -,
M J Henry,Matt Henry,2014-,95,38,270,0,48,10.38,172,16,24.99,5.21,
K A Jamieson,Kyle Jamieson,2020-,23,10,101,0,25,25.25,30,1,32.67,5.31,
N F Kelly,Nick Kelly,2025-,6,6,198,0,83,33,0,0,  -,  -,
T W M Latham,Tom Latham,2012-,166,153,4497,8,145,33.56,0,0,  -,  -,
J R Lennox,Jayden Lennox,2026-,5,3,3,0,2,1.5,8,0,25.25,4.12,
B G Lister,Benjamin Lister,2023-,4,4,12,0,5,12,6,0,36.67,6.11,
R A Mariu,Rhys Mariu,2025-,2,2,76,0,58,38,0,0,  -,  -,
C E McConchie,Cole McConchie,2023-,6,5,126,0,64,42,4,0,33.75,4.82,
A F Milne,Adam Milne,2012-,50,22,180,0,36,12.86,57,1,35.56,5.42,
D J Mitchell,Daryl Mitchell,2021-,59,54,2690,9,137,58.48,14,0,23.93,5.93,
Muhammad Abbas,Muhammad Abbas,2025-,6,6,162,0,52,27,2,0,37.5,5,
J D S Neesham,James Neesham,2013-,76,65,1495,0,97,28.21,71,4,36,6.26,
H M Nicholls,Henry Nicholls,2015-,87,85,2337,1,124,33.87,0,0,  -,  -,
W P Orourke,William ORourke,2023-,20,6,13,0,6,3.25,27,1,34.15,5.63,
G D Phillips,Glenn Phillips,2022-,47,39,1262,2,106,42.07,16,0,51.56,6.07,
R Ravindra,Rachin Ravindra,2023-,39,35,1424,5,123,41.88,21,1,45.29,5.83,
T B Robinson,Tim Robinson,2024-,3,3,48,0,35,16,0,0,  -,  -,
M J Santner,Mitchell Santner,2015-,124,92,1580,0,67,26.78,133,2,35.47,4.82,
B V Sears,Ben Sears,2025-,4,2,11,0,6,11,10,2,19.7,5.74,
T L Seifert,Tim Seifert,2019-,4,3,59,0,26,19.67,0,0,  -,  -,
H B Shipley,Henry Shipley,2023-,8,6,18,0,7,3.6,15,1,23.93,5.57,
N G Smith,Nathan Smith,2024-,17,12,84,0,21,10.5,22,2,33,6.44,
I S Sodhi,Ish Sodhi,2015-,54,26,210,0,35,9.55,64,2,36.72,5.51,
B M Tickner,Blair Tickner,2022-,18,10,53,0,18,13.25,29,4,31.48,6.39,
K S Williamson,Kane Williamson,2010-,175,167,7256,15,148,48.7,37,1,35.41,5.36,
W A Young,Will Young,2021-,58,58,1874,4,120,35.36,0,0,  -,  -,
