Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
F H Allen,Finn Allen,2021-,62,61,1663,3,137,28.67,0,0,  -,  -,
C J Anderson,Corey Anderson,2012-,31,24,485,0,94,24.25,14,0,35.36,8.25,
A Ashok,Adithya Ashok,2023-,1,0,0,0,0,0,1,0,28,7,
T A Blundell,Tom Blundell,2017-,9,8,91,0,30,15.17,0,0,  -,  -,
T A Boult,Trent Boult,2013-,61,15,58,0,16,8.29,83,2,21.43,7.68,
C J Bowes,Chad Bowes,2023-,11,11,187,0,54,17,0,0,  -,  -,
M G Bracewell,Michael Bracewell,2022-,47,31,434,0,61,19.73,35,0,21.91,7.39,
T C Bruce,Tom Bruce,2017-,17,17,279,0,59,18.6,0,0,  -,  -,
M S Chapman,Mark Chapman,2018-,94,76,1682,1,104,26.7,1,0,22,5.5,
K D Clarke,Katene Clarke,2026-,3,3,62,0,51,20.67,0,0,  -,  -,
K D C Clarke,Kristian Clarke,2026-,1,1,0,0,0,0,1,0,40,10,
J A Clarkson,Josh Clarkson,2024-,12,9,151,0,38,25.17,3,0,16.67,8.33,
D Cleaver,Dane Cleaver,2022-,12,10,221,0,78,24.56,0,0,  -,  -,
D P Conway,Devon Conway,2020-,69,63,1839,0,99,35.37,0,0,  -,  -,
J A Duffy,Jacob Duffy,2020-,48,12,40,0,9,8,62,5,20.26,8.09,
L H Ferguson,Lockie Ferguson,2017-,54,17,38,0,14,4.22,76,3,17.83,7.33,
M J Fisher,Matthew Fisher,2026-,1,0,0,0,0,0,0,0,  -,13.25,
Z G Foulkes,Zak Foulkes,2024-,22,14,100,0,27,14.29,22,0,28.82,8.99,
D Foxcroft,Dean Foxcroft,2023-,6,5,91,0,34,18.2,0,0,  -,  -,
M J Hay,Mitchell Hay,2024-,12,10,89,0,41,11.13,0,0,  -,  -,
M J Henry,Matt Henry,2014-,43,14,47,0,12,5.88,53,0,23.08,8.5,
B Jacobs,Bevon Jacobs,2025-,10,8,121,0,44,17.29,0,0,  -,  -,
K A Jamieson,Kyle Jamieson,2020-,32,15,95,0,30,10.56,30,0,35.77,9.59,
N F Kelly,Nick Kelly,2026-,6,6,96,0,39,19.2,0,0,  -,  -,
T W M Latham,Tom Latham,2012-,29,26,597,0,65,27.14,0,0,  -,  -,
B G Lister,Benjamin Lister,2023-,13,3,1,0,1,0.5,11,0,30.82,8.3,
C E McConchie,Cole McConchie,2021-,21,15,189,0,31,18.9,12,0,31.25,8.09,
A F Milne,Adam Milne,2010-,56,21,83,0,16,8.3,65,3,24.65,8.31,
D J Mitchell,Daryl Mitchell,2019-,104,90,1879,0,72,26.84,9,0,23.56,11.06,
J D S Neesham,James Neesham,2012-,105,77,1105,0,48,20.09,64,2,25.14,9.21,
W P ORourke,William ORourke,2024-,7,1,0,0,0,0,7,0,26.86,6.96,
G D Phillips,Glenn Phillips,2017-,97,85,2286,2,108,31.75,9,0,36.33,8.53,
R Ravindra,Rachin Ravindra,2021-,52,46,759,0,69,20.51,26,1,17.46,6.98,
T B Robinson,Tim Robinson,2024-,30,27,642,1,106,26.75,0,0,  -,  -,
M J Santner,Mitchell Santner,2015-,138,92,1108,0,77,20.52,142,3,23.85,7.18,
B V Sears,Ben Sears,2021-,27,8,23,0,7,7.67,31,0,22.1,8.14,
T L Seifert,Tim Seifert,2018-,90,84,2279,0,97,31.22,0,0,  -,  -,
N G Smith,Nathan Smith,2026-,1,1,2,0,2,0,1,0,33,11,
I S Sodhi,Ish Sodhi,2014-,141,43,243,0,33,8.68,164,4,23.04,8.16,
L R P L Taylor,Ross Taylor,2006-,102,94,1909,0,63,26.15,0,0,  -,  -,
W A Young,Will Young,2021-,20,19,344,0,56,18.11,0,0,  -,  -,
