Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
Aamer Jamal,Aamer Jamal,2024-,3,2,5,0,5,0,3,0,28.33,5.31,
Abdul Samad,Abdul Samad,2026-,3,3,45,0,34,15,0,0,  -,  -,
Abdullah Shafique,Abdullah Shafique,2022-,27,27,737,1,113,29.48,0,0,  -,  -,
Abrar Ahmed,Abrar Ahmed,2024-,16,8,28,0,23,14,29,2,22.62,4.56,
Akif Javed,Akif Javed,2025-,3,3,10,0,8,5,7,1,23.57,5.89,
Babar Azam,Babar Azam,2015-,140,137,6501,20,158,53.73,0,0,  -,  -,
Faheem Ashraf,Faheem Ashraf,2017-,45,31,410,0,73,14.64,33,1,45.7,5.24,
Faisal Akram,Faisal Akram,2024-,4,0,0,0,0,0,7,0,17.43,4.14,
Fakhar Zaman,Fakhar Zaman,2017-,92,91,3861,11,210,45.42,1,0,111,4.93,
Ghazi Ghori,Ghazi Ghori,2026-,1,1,29,0,29,29,0,0,  -,  -,
Haris Rauf,Haris Rauf,2020-,56,23,108,0,35,7.71,103,7,25.67,5.84,
Hasan Ali,Hasan Ali,2016-,68,39,383,0,59,13.68,102,6,31.17,5.8,
Hasan Nawaz,Hasan Nawaz,2025-,4,4,113,0,63,56.5,0,0,  -,  -,
Haseebullah Khan,Haseebullah Khan,2024-,2,2,0,0,0,0,0,0,  -,  -,
Hussain Talat,Hussain Talat,2019-,12,10,224,0,62,28,0,0,  -,7.7,
Iftikhar Ahmed,Iftikhar Ahmed,2015-,28,24,614,1,109,38.38,16,1,46.38,5.59,
Irfan Khan,Irfan Khan,2024-,9,6,48,0,22,8,3,0,17,10.2,
Kamran Ghulam,Kamran Ghulam,2023-,11,7,210,1,103,30,1,0,16,4,
Khushdil Shah,Khushdil Shah,2020-,15,12,328,0,69,32.8,4,0,83,6.09,
Maaz Sadaqat,Maaz Sadaqat,2026-,3,3,99,0,75,33,3,0,10.67,5.33,
Mohammad Ali,Mohammad Ali,2025-,1,1,0,0,0,0,1,0,53,5.3,
Mohammad Haris,Mohammad Haris,2022-,6,5,30,0,17,7.5,0,0,  -,  -,
Mohammad Hasnain,Mohammad Hasnain,2019-,15,7,53,0,28,17.67,17,1,44.41,6.31,
Mohammad Nawaz,Mohammad Nawaz,2016-,44,33,538,0,59,21.52,49,3,36.51,5.12,
Mohammad Rizwan,Mohammad Rizwan,2015-,103,94,2979,4,131,40.81,0,0,  -,  -,
Mohammad Wasim,Mohammad Wasim,2022-,27,14,94,0,17,8.55,43,1,27.33,5.48,
Naseem Shah,Naseem Shah,2022-,34,18,224,0,51,22.4,60,2,25.92,5.49,
Saad Masood,Saad Masood,2026-,1,1,38,0,38,38,0,0,  -,6.88,
Sahibzada Farhan,Sahibzada Farhan,2026-,3,3,64,0,31,21.33,0,0,  -,  -,
Saim Ayub,Saim Ayub,2024-,17,17,751,3,113,46.94,9,0,41.56,5.04,
Salman Agha,Salman Agha,2022-,50,42,1538,3,134,45.24,19,1,53.84,5.82,
Saud Shakeel,Saud Shakeel,2021-,19,16,408,0,68,27.2,1,0,37,4.72,
Shadab Khan,Shadab Khan,2017-,70,44,855,0,86,25.91,85,5,34.82,5.24,
Shaheen Shah Afridi,Shaheen Shah Afridi,2018-,74,43,321,0,37,13.38,139,11,25.13,5.62,
Shamyl Hussain,Shamyl Hussain,2026-,2,2,10,0,6,5,0,0,  -,  -,
Shan Masood,Shan Masood,2019-,9,9,163,0,50,18.11,0,0,  -,  -,
Sufiyan Muqeem,Sufiyan Muqeem,2024-,4,3,15,0,13,15,8,1,22.75,4.92,
Tayyab Tahir,Tayyab Tahir,2024-,11,10,181,0,38,22.63,0,0,  -,  -,
Usama Mir,Usama Mir,2023-,12,6,40,0,20,6.67,15,1,42.27,5.98,
Usman Khan,Usman Khan,2025-,2,2,51,0,39,25.5,0,0,  -,  -,
Zaman Khan,Zaman Khan,2023-,1,0,0,0,0,0,0,0,  -,6.5,
