Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
Aamer Jamal,Aamer Jamal,2022-,6,5,88,0,41,22,2,0,93.5,11.11,
Abbas Afridi,Abbas Afridi,2024-,24,15,135,0,22,12.27,38,0,15.53,8.49,
Abdul Samad,Abdul Samad,2025-,5,4,66,0,44,16.5,0,0,  -,  -,
Abrar Ahmed,Abrar Ahmed,2024-,38,9,4,0,2,1.33,52,1,17.37,6.67,
Ahmed Daniyal,Ahmed Daniyal,2025-,2,1,17,0,17,17,3,0,13,5.57,
Arafat Minhas,Arafat Minhas,2023-,4,3,60,0,25,30,4,0,15.5,5.17,
Arshad Iqbal,Arshad Iqbal,2021-,3,2,0,0,0,0,4,0,13.25,5.89,
Asif Ali,Asif Ali,2018-,58,51,577,0,41,15.18,0,0,  -,  -,
Azam Khan,Azam Khan,2021-,14,13,88,0,30,8.8,0,0,  -,  -,
Babar Azam,Babar Azam,2016-,145,136,4596,3,122,38.95,0,0,  -,  -,
Faheem Ashraf,Faheem Ashraf,2017-,85,59,594,0,51,13.5,61,2,25.23,7.87,
Fakhar Zaman,Fakhar Zaman,2017-,120,110,2494,0,91,23.98,0,0,  -,12,
Haider Ali,Haider Ali,2020-,35,32,505,0,68,17.41,0,0,  -,  -,
Haris Rauf,Haris Rauf,2020-,94,31,143,0,34,8.41,133,5,21.11,8.38,
Hasan Ali,Hasan Ali,2016-,57,22,147,0,23,13.36,72,2,23.31,8.72,
Hasan Nawaz,Hasan Nawaz,2025-,25,24,457,1,105,20.77,0,0,  -,  -,
Haseebullah Khan,Haseebullah Khan,2024-,3,3,36,0,24,12,0,0,  -,  -,
Hussain Talat,Hussain Talat,2018-,23,23,441,0,63,22.05,7,0,15.43,9,
Iftikhar Ahmed,Iftikhar Ahmed,2016-,66,55,998,0,62,24.34,8,0,43.63,7.1,
Imad Wasim,Imad Wasim,2015-,75,50,554,0,64,15.83,73,2,21.75,6.2,
Irfan Khan,Irfan Khan,2024-,14,11,189,0,37,27,0,0,  -,  -,
Jahandad Khan,Jahandad Khan,2024-,8,5,29,0,17,7.25,7,0,30.14,11.72,
Khawaja Nafay,Khawaja Nafay,2026-,4,4,54,0,26,13.5,0,0,  -,  -,
Khushdil Shah,Khushdil Shah,2019-,38,33,434,0,36,17.36,6,0,21.33,7.11,
Mirza Baig,Mirza Baig,2023-,3,3,36,0,32,18,0,0,  -,  -,
Mohammad Ali,Mohammad Ali,2025-,3,2,1,0,1,0,1,0,86,12.29,
Mohammad Haris,Mohammad Haris,2022-,35,34,555,1,107,17.34,0,0,  -,  -,
Mohammad Hasnain,Mohammad Hasnain,2019-,28,11,24,0,8,24,25,0,35.08,8.51,
Mohammad Nawaz,Mohammad Nawaz,2016-,98,69,911,0,45,17.52,101,2,20.88,7.19,
Mohammad Rizwan,Mohammad Rizwan,2015-,106,93,3414,1,104,47.42,0,0,  -,  -,
Mohammad Wasim,Mohammad Wasim,2021-,34,13,53,0,12,13.25,42,2,21.5,8.25,
Mubasir Khan,Mubasir Khan,2023-,1,0,0,0,0,0,0,0,  -,  -,
Naseem Shah,Naseem Shah,2022-,37,14,62,0,16,6.89,32,0,33.03,8.13,
Omair Yousuf,Omair Yousuf,2023-,7,7,91,0,24,18.2,0,0,  -,  -,
Qasim Akram,Qasim Akram,2023-,4,3,41,0,20,13.67,3,0,7.67,6,
Rohail Nazir,Rohail Nazir,2023-,3,2,23,0,13,11.5,0,0,  -,  -,
Sahibzada Farhan,Sahibzada Farhan,2018-,46,45,1305,2,100,30.35,0,0,  -,  -,
Saim Ayub,Saim Ayub,2023-,67,64,1298,0,98,21.28,29,0,22.28,7.18,
Salman Agha,Salman Agha,2024-,52,48,916,0,76,22.9,6,0,25.33,7.6,
Salman Mirza,Salman Mirza,2025-,17,5,9,0,4,4.5,23,0,16.13,6.43,
Shadab Khan,Shadab Khan,2017-,124,69,1009,0,52,19.4,123,3,24.26,7.38,
Shaheen Shah Afridi,Shaheen Shah Afridi,2018-,103,42,345,0,33,14.38,136,3,21.35,7.84,
Sufiyan Muqeem,Sufiyan Muqeem,2023-,19,11,26,0,10,5.2,27,1,14.74,6.28,
Tayyab Tahir,Tayyab Tahir,2023-,8,7,123,0,39,20.5,0,0,  -,  -,
Usama Mir,Usama Mir,2024-,5,4,7,0,5,2.33,5,0,35,8.75,
Usman Khan,Usman Khan,2024-,38,32,474,0,53,18.96,0,0,  -,  -,
Usman Qadir,Usman Qadir,2020-,25,9,36,0,18,9,31,1,18.48,7.96,
Usman Tariq,Usman Tariq,2025-,9,1,0,0,0,0,18,2,11.17,6.66,
Zaman Khan,Zaman Khan,2023-,10,2,8,0,8,0,7,0,33.71,7.49,
