Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
O E G Baartman,Ottneil Baartman,2024-,6,5,16,0,10,16,8,0,27.63,5.26,
T Bavuma,Temba Bavuma,2016-,55,53,2035,5,144,42.4,0,0,  -,3.57,
C Bosch,Corbin Bosch,2024-,12,10,270,0,67,45,11,0,59.64,7,
E Bosch,Eathan Bosch,2025-,1,1,7,0,7,0,1,0,33,4.71,
M P Breetzke,Matthew Breetzke,2025-,12,12,706,1,150,64.18,0,0,  -,  -,
D Brevis,Dewald Brevis,2025-,9,9,230,0,54,28.75,0,0,  -,7,
N Burger,Nandre Burger,2023-,14,9,41,0,17,13.67,22,1,30.5,6.11,
G Coetzee,Gerald Coetzee,2023-,14,7,57,0,22,8.14,31,2,23.23,6.49,
C J Dala,Junior Dala,2018-,3,2,8,0,5,8,2,0,84,6.72,
Q de Kock,Quinton de Kock,2013-,161,161,7123,23,178,46.56,0,0,  -,  -,
T de Zorzi,Tony de Zorzi,2023-,22,21,705,1,119,37.11,0,0,  -,  -,
D Ferreira,Donovan Ferreira,2025-,3,2,10,0,7,5,2,0,57.5,5,
B C Fortuin,Bjorn Fortuin,2020-,16,11,77,0,28,7.7,18,0,33.94,4.83,
B E Hendricks,Beuran Hendricks,2019-,10,4,24,0,18,8,10,0,34.6,5.38,
R R Hendricks,Reeza Hendricks,2018-,38,38,974,1,102,27.06,1,0,47,6.71,
R A Hermann,Rubin Hermann,2025-,1,1,1,0,1,1,0,0,  -,  -,
M Jansen,Marco Jansen,2022-,32,27,553,0,75,25.14,49,1,33.47,6.29,
H Klaasen,Heinrich Klaasen,2018-,60,56,2141,4,174,43.69,0,0,  -,6.6,
L G Lhuan- dre Pretorius,Lhuan-dre Pretorius,2025-,3,3,142,0,57,47.33,0,0,  -,  -,
G F Linde,George Linde,2021-,4,3,29,0,18,14.5,4,0,35,5.6,
S S B Magala,Sisanda Magala,2021-,8,5,18,0,6,6,15,1,25.4,6.68,
K A Maharaj,Keshav Maharaj,2017-,56,31,324,0,40,14.09,73,4,31.12,4.73,
K T Maphaka,Kwena Maphaka,2024-,3,3,1,0,1,0.33,5,1,39,8.93,
A K Markram,Aiden Markram,2017-,86,82,2708,4,175,37.1,20,0,61.35,5.88,
Mihlali Mpongwana,Mihlali Mpongwana,2025-,1,1,1,0,1,0,0,0,  -,8.33,
D A Miller,David Miller,2010-,178,154,4611,7,139,42.3,0,0,  -,  -,
P W A Mulder,Wiaan Mulder,2017-,30,24,338,0,64,18.78,26,0,38.23,6.32,
S Muthusamy,Senuran Muthusamy,2025-,5,4,22,0,9,7.33,6,0,38.83,6.35,
L Ngidi,Lungi Ngidi,2018-,75,31,126,0,20,9,115,6,29.13,5.81,
A Nortje,Anrich Nortje,2019-,22,7,40,0,10,6.67,36,3,27.28,5.86,
N Peter,Nqabayomzi Peter,2024-,4,2,21,0,16,10.5,6,0,27.17,6.04,
A L Phehlukwayo,Andile Phehlukwayo,2016-,85,57,883,0,69,23.24,97,3,31.35,5.75,
Prenelan Subrayen,Prenelan Subrayen,2025-,2,2,18,0,17,9,1,0,119,5.95,
S Qeshile,Sinethemba Qeshile,2025-,2,1,22,0,22,22,0,0,  -,  -,
K Rabada,Kagiso Rabada,2015-,106,45,401,0,31,14.85,168,8,27.46,5.09,
R D Rickelton,Ryan Rickelton,2023-,17,17,454,1,103,28.38,0,0,  -,  -,
T Shamsi,Tabraiz Shamsi,2016-,55,15,39,0,11,9.75,73,4,34.38,5.58,
J F Smith,Jason Smith,2024-,3,3,132,0,91,44,0,0,  -,5.8,
T Stubbs,Tristan Stubbs,2023-,15,15,392,1,112,30.15,0,0,  -,7.5,
H E van der Dussen,Rassie van der Dussen,2019-,71,65,2657,6,134,50.13,1,0,3,3,
R E van der Merwe,Roelof van der Merwe,2009-,13,7,39,0,12,9.75,17,0,33,4.77,
K Verreynne,Kyle Verreynne,2020-,19,16,533,0,95,38.07,0,0,  -,  -,
L B Williams,Lizaad Williams,2021-,8,4,18,0,13,4.5,16,2,24.88,5.88,
C E Yusuf,Codi Yusuf,2025-,1,1,5,0,5,5,0,0,  -,8,
