Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
O E G Baartman,Ottneil Baartman,2024-,21,6,14,0,12,3.5,29,2,20.38,8.11,
T Bavuma,Temba Bavuma,2019-,36,35,670,0,72,21.61,0,0,  -,  -,
C Bosch,Corbin Bosch,2025-,22,14,115,0,30,12.78,33,1,17.94,7.89,
M P Breetzke,Matthew Breetzke,2023-,13,13,158,0,51,13.17,0,0,  -,  -,
D Brevis,Dewald Brevis,2023-,30,28,697,1,125,26.81,0,0,  -,  -,
N Burger,Nandre Burger,2023-,8,3,10,0,9,5,6,0,39.83,8.24,
G Coetzee,Gerald Coetzee,2023-,18,14,128,0,23,10.67,22,0,25.91,9.24,
Dayyaan Galiem,Dayyaan Galiem,2024-,1,0,0,0,0,0,2,0,10.5,5.25,
Q de Kock,Quinton de Kock,2012-,110,109,3095,2,115,30.95,0,0,  -,  -,
T de Zorzi,Tony de Zorzi,2025-,7,7,93,0,33,13.29,0,0,  -,  -,
C Esterhuizen,Connor Esterhuizen,2026-,5,5,200,0,75,50,0,0,  -,  -,
D Ferreira,Donovan Ferreira,2023-,16,15,240,0,48,18.46,2,0,76.5,8.66,
D Forrester,Dian Forrester,2026-,5,5,83,0,21,27.67,0,0,  -,4,
B C Fortuin,Bjorn Fortuin,2019-,27,18,127,0,32,12.7,23,0,28.26,8.13,
R R Hendricks,Reeza Hendricks,2014-,90,89,2504,1,117,28.78,0,0,  -,12,
J Hermann,Jordan Hermann,2026-,1,0,0,0,0,0,0,0,  -,  -,
R A Hermann,Rubin Hermann,2025-,12,11,250,0,63,25,0,0,  -,  -,
M Jansen,Marco Jansen,2022-,30,20,268,0,55,17.87,33,2,29.76,8.94,
H Klaasen,Heinrich Klaasen,2018-,58,53,1000,0,81,23.26,0,0,  -,14,
P E Kruger,Patrick Kruger,2024-,7,5,72,0,44,18,8,1,22.38,9.26,
L G Lhuan- dre Pretorius,Lhuan-dre Pretorius,2025-,13,13,201,0,51,15.46,0,0,  -,  -,
G F Linde,George Linde,2020-,37,26,403,0,48,19.19,35,1,23.83,7.58,
K A Maharaj,Keshav Maharaj,2021-,54,19,107,0,41,8.92,55,0,26.31,7.87,
K T Maphaka,Kwena Maphaka,2024-,18,6,19,0,12,9.5,17,1,32.12,9.31,
A K Markram,Aiden Markram,2019-,77,73,1966,0,86,31.71,17,0,35.47,8.87,
D A Miller,David Miller,2010-,137,121,2763,2,106,34.11,0,0,  -,  -,
N Mokoena,Nqobani Mokoena,2026-,3,2,26,0,26,26,3,0,24.33,6.95,
P W A Mulder,Wiaan Mulder,2021-,15,12,152,0,36,15.2,13,0,20.92,9.38,
S Muthusamy,Senuran Muthusamy,2025-,5,5,24,0,9,6,5,0,25.6,7.11,
L Ngidi,Lungi Ngidi,2017-,64,18,59,0,13,11.8,90,4,20.73,8.62,
A Nortje,Anrich Nortje,2019-,47,14,30,0,12,3.75,56,3,21.2,7.29,
N Peter,Nqabayomzi Peter,2024-,12,5,29,0,10,14.5,9,0,36,9.26,
Prenelan Subrayen,Prenelan Subrayen,2026-,2,0,0,0,0,0,2,0,17.5,5,
K Rabada,Kagiso Rabada,2014-,79,30,184,0,22,14.15,83,0,28.65,8.41,
R D Rickelton,Ryan Rickelton,2024-,29,29,741,0,77,28.5,0,0,  -,  -,
T Shamsi,Tabraiz Shamsi,2017-,70,14,10,0,4,2,89,4,20.9,7.4,
A Simelane,Andile Simelane,2024-,10,8,56,0,13,8,8,0,33.88,10.04,
L Sipamla,Lutho Sipamla,2019-,14,5,17,0,8,5.67,11,0,43.45,10.47,
J F Smith,Jason Smith,2024-,11,10,124,0,31,20.67,0,0,  -,  -,
J T Smuts,JJ Smuts,2017-,13,13,174,0,45,13.38,1,0,178,7.85,
T Stubbs,Tristan Stubbs,2022-,52,43,967,0,76,30.22,0,0,  -,20.5,
H E van der Dussen,Rassie van der Dussen,2018-,57,53,1406,0,94,33.48,0,0,  -,  -,
L B Williams,Lizaad Williams,2021-,20,10,14,0,5,2.33,24,0,25.96,9.61,
