Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
K I C Asalanka,Charith Asalanka,2021-,83,75,2734,5,127,42.06,18,1,35.56,5.01,
P V D Chameera,Dushmantha Chameera,2015-,58,39,296,0,29,11.38,65,2,35.06,5.49,
M K P A Dananjaya,Akila Dananjaya,2012-,42,32,323,0,50,12.42,59,4,30.66,5.13,
S Daniel,Shevon Daniel,2024-,1,1,12,0,12,12,0,0,  -,  -,
D de Silva,Dhananjaya de Silva,2016-,93,85,1924,0,93,25.65,48,0,41.9,5.09,
Eshan Malinga,Eshan Malinga,2025-,7,6,14,0,4,4.67,4,0,55.75,6.03,
A M Fernando,Asitha Fernando,2017-,30,10,7,0,3,1.75,38,1,31.32,5.88,
M N K Fernando,Nuwanidu Fernando,2023-,6,5,89,0,50,17.8,0,0,  -,  -,
W I A Fernando,Avishka Fernando,2016-,51,50,1589,4,127,31.78,0,0,  -,  -,
M A D I Hemantha,Dushan Hemantha,2023-,5,4,39,0,22,19.5,2,0,96.5,5.51,
C Karunaratne,Chamika Karunaratne,2021-,26,24,451,0,75,25.06,24,1,31.71,5.64,
L Kumara,Lahiru Kumara,2017-,32,19,62,0,10,5.64,42,1,33.43,6.48,
K L J Liyanage,Janith Liyanage,2024-,34,29,990,1,101,43.04,3,0,117,5.37,
P Madushan,Pramod Madushan,2022-,13,9,53,0,15,7.57,16,1,37.69,6.93,
L D Madushanka,Dilshan Madushanka,2023-,28,11,36,0,19,12,50,3,25.02,6.13,
B K G Mendis,Kusal Mendis,2016-,154,151,4890,6,143,35.43,0,0,  -,8.4,
P H K D Mendis,Kamindu Mendis,2019-,27,26,527,0,64,26.35,6,0,53.17,6.65,
Milan Rathnayake,Milan Rathnayake,2025-,1,1,22,0,22,22,0,0,  -,10,
RVPK Mishara,Kamil Mishara,2025-,6,6,148,0,38,24.67,0,0,  -,9,
Mohamed Shiraz,Mohamed Shiraz,2024-,2,1,1,0,1,0,1,0,48,5.33,
Nishan Madushka,Nishan Madushka,2024-,9,8,238,0,69,29.75,0,0,  -,  -,
P Nissanka,Pathum Nissanka,2021-,76,76,2864,7,210,40.34,0,0,  -,  -,
M Pathirana,Matheesha Pathirana,2023-,12,7,11,0,5,2.2,17,1,36.24,7.28,
Pavan Rathnayake,Pavan Rathnayake,2025-,4,4,194,1,121,48.5,0,0,  -,6.33,
M D K J Perera,Kusal Perera,2013-,116,111,3237,6,135,30.54,0,0,  -,  -,
K Rajitha,Kasun Rajitha,2018-,34,19,117,0,33,9.75,43,2,36.12,6.1,
Sahan Arachchige,Sahan Arachchige,2023-,5,3,89,0,57,29.67,1,0,28,4,
S Samarawickrama,Sadeera Samarawickrama,2017-,55,50,1456,1,108,32.36,0,0,  -,  -,
D Shanaka,Dasun Shanaka,2016-,71,63,1299,2,108,22.4,27,1,37,5.68,
M M Theekshana,Maheesh Theekshana,2021-,59,33,344,0,38,16.38,79,7,28.04,4.6,
J D F Vandersay,Jeffrey Vandersay,2015-,32,18,132,0,25,11,48,2,26.38,5.31,
Wanindu Hasaranga,Wanindu Hasaranga,2017-,69,57,1135,0,80,23.65,112,9,24.72,5.15,
D N Wellalage,Dunith Wellalage,2022-,34,27,453,0,67,21.57,41,3,31.1,5.1,
C Wirkramasinghe,Chamindu Wirkramasinghe,2024-,4,3,58,0,22,19.33,1,0,66,7.07,
