Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
K I C Asalanka,Charith Asalanka,2021-,76,74,1456,0,80,22.4,7,0,35.43,7.79,
K N A Bandara,Ashen Bandara,2021-,6,5,97,0,44,24.25,0,0,  -,2,
P V D Chameera,Dushmantha Chameera,2015-,77,37,116,0,24,5.27,93,3,24.19,8.04,
D L S Croospulle,Dian Croospulle,2023-,1,1,16,0,16,16,0,0,  -,  -,
M K P A Dananjaya,Akila Dananjaya,2012-,33,16,65,0,11,8.13,30,0,32.17,8.26,
S Daniel,Shevon Daniel,2023-,1,1,9,0,9,9,0,0,  -,  -,
D de Silva,Dhananjaya de Silva,2015-,48,47,890,0,66,20.7,17,0,20.76,6.83,
Eshan Malinga,Eshan Malinga,2025-,8,3,1,0,1,1,8,0,26.88,9.42,
A M Fernando,Asitha Fernando,2022-,7,3,11,0,10,0,4,0,52,10.4,
B Fernando,Binura Fernando,2015-,25,8,43,0,20,10.75,24,0,29.83,8.41,
M N K Fernando,Nuwanidu Fernando,2023-,3,3,13,0,7,4.33,0,0,  -,  -,
W I A Fernando,Avishka Fernando,2019-,39,37,376,0,37,11.06,0,0,  -,  -,
M A D I Hemantha,Dushan Hemantha,2025-,8,5,29,0,14,7.25,10,0,26.7,9.1,
L U Igalagamage,Lahiru Igalagamage,2023-,1,1,0,0,0,0,0,0,  -,  -,
C Karunaratne,Chamika Karunaratne,2021-,45,36,308,0,31,16.21,24,0,41.25,8.4,
Lahiru Samarakoon,Lahiru Samarakoon,2023-,1,1,1,0,1,1,1,0,10,3.33,
K L J Liyanage,Janith Liyanage,2022-,14,13,181,0,41,22.63,0,0,  -,13.71,
P Madushan,Pramod Madushan,2022-,9,3,2,0,1,1,12,1,20.75,8.84,
L D Madushanka,Dilshan Madushanka,2022-,19,6,2,0,1,0.4,20,0,29.5,9.37,
B K G Mendis,Kusal Mendis,2016-,106,106,2622,0,86,26.22,0,0,  -,  -,
P H K D Mendis,Kamindu Mendis,2018-,43,38,671,0,65,19.74,5,0,47.6,8.21,
Ramesh Mendis,Ramesh Mendis,2021-,4,3,17,0,12,5.67,2,0,24,6.86,
RVPK Mishara,Kamil Mishara,2022-,22,22,477,0,76,23.85,0,0,  -,10,
Nimesh Vimukthi,Nimesh Vimukthi,2023-,1,1,6,0,6,6,0,0,  -,3.25,
P Nissanka,Pathum Nissanka,2021-,91,90,2648,2,107,31.15,0,0,  -,  -,
M Pathirana,Matheesha Pathirana,2022-,29,11,19,0,6,3.17,40,2,18.85,8.3,
Pavan Rathnayake,Pavan Rathnayake,2025-,12,10,266,0,60,29.56,2,0,5.5,5.5,
M D K J Perera,Kusal Perera,2013-,95,93,2335,1,101,26.24,0,0,  -,  -,
P B B Rajapaksa,Bhanuka Rajapaksa,2019-,45,40,744,0,77,22.55,0,0,  -,  -,
Ravindu Fernando,Ravindu Fernando,2023-,1,1,9,0,9,9,0,0,  -,17,
Sahan Arachchige,Sahan Arachchige,2023-,1,1,22,0,22,22,2,0,13,7.43,
S Samarawickrama,Sadeera Samarawickrama,2017-,19,18,310,0,61,19.38,0,0,  -,  -,
D Shanaka,Dasun Shanaka,2015-,131,118,1912,0,76,20.56,46,0,25.11,8.24,
M M Theekshana,Maheesh Theekshana,2021-,82,38,107,0,14,4.46,82,0,26.71,7.11,
I D N Thushara,Nuwan Thushara,2022-,30,10,10,0,6,5,36,4,22.64,8.16,
J D F Vandersay,Jeffrey Vandersay,2015-,17,9,35,0,8,11.67,8,0,61.13,7.97,
Vijayakanth Viyaskanth,Vijayakanth Viyaskanth,2023-,2,2,13,0,13,0,1,0,56,7,
Wanindu Hasaranga,Wanindu Hasaranga,2019-,95,77,807,0,71,13.68,154,5,16.06,7.03,
D N Wellalage,Dunith Wellalage,2024-,15,10,93,0,29,18.6,17,0,25.24,7.46,
C Wirkramasinghe,Chamindu Wirkramasinghe,2024-,3,3,14,0,6,0,1,0,55,7.86,
