Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
Akeem Jordan,Akeem Jordan,2023-,2,1,3,0,3,0,1,0,56,5.09,
J Andrew,Jewel Andrew,2024-,3,2,8,0,8,4,0,0,  -,  -,
A Athanaze,Alick Athanaze,2023-,17,17,405,0,66,23.82,4,0,17.5,3.33,
A W J Auguste,Ackeem Auguste,2025-,4,4,56,0,22,14,0,0,  -,  -,
T J Bishop,Teddy Bishop,2024-,1,1,0,0,0,0,0,0,  -,  -,
J Blades,Jediah Blades,2024-,3,1,0,0,0,0,1,0,172,8.6,
S S J Brooks,Shamarh Brooks,2022-,29,29,842,1,101,30.07,0,0,  -,  -,
J D Campbell,John Campbell,2019-,9,8,282,1,179,35.25,0,0,  -,13,
Y Cariah,Yannic Cariah,2022-,14,7,93,0,52,15.5,13,0,47.85,6.25,
K U Carty,Keacy Carty,2022-,46,43,1593,4,170,41.92,0,0,  -,6.72,
J Charles,Johnson Charles,2012-,58,58,1537,2,130,26.5,0,0,  -,14.4,
R L Chase,Roston Chase,2017-,69,54,1158,0,94,25.73,45,0,45.38,4.92,
D C Drakes,Dominic Drakes,2023-,3,2,11,0,8,5.5,2,0,36.5,3.84,
M W Forde,Matthew Forde,2023-,16,12,193,0,58,19.3,22,0,31.55,6.01,
J P Greaves,Justin Greaves,2022-,21,20,429,0,50,28.6,8,0,63.63,6.7,
G Gudakesh Motie,Gudakesh Motie,2022-,34,22,357,0,63,22.31,42,2,31.48,4.75,
S O Hetmeyer,Shimron Hetmeyer,2017-,57,52,1543,5,139,31.49,0,0,  -,  -,
K A R Hodge,Kavem Hodge,2023-,4,3,37,0,26,12.33,2,0,56.5,6.28,
J O Holder,Jason Holder,2013-,138,114,2237,0,99,24.86,159,7,36.97,5.51,
S D Hope,Shai Hope,2016-,148,143,6113,19,170,50.52,0,0,  -,  -,
A J Hosein,Akeal Hosein,2021-,40,30,309,0,60,14.71,63,2,28.08,4.8,
A A Jangoo,Amir Jangoo,2024-,5,5,153,1,104,38.25,0,0,  -,  -,
A S Joseph,Alzarri Joseph,2016-,81,46,489,0,49,16.3,133,6,27.89,5.49,
S Joseph,Shamar Joseph,2024-,6,3,11,0,8,11,4,0,67.5,6.45,
B A King,Brandon King,2019-,58,58,1530,3,112,27.32,0,0,  -,  -,
E Lewis,Evin Lewis,2016-,70,67,2279,5,176,36.76,0,0,  -,  -,
K R Mayers,Kyle Mayers,2021-,28,26,660,2,120,25.38,14,0,45.14,5.53,
M J Mindley,Marquino Mindley,2024-,1,0,0,0,0,0,1,0,45,6.43,
K Y Ottley,Kjorn Ottley,2021-,4,4,41,0,24,10.25,0,0,  -,  -,
K M A Paul,Keemo Paul,2018-,30,22,320,0,46,21.33,34,0,36.41,5.93,
K Pierre,Khary Pierre,2019-,7,6,70,0,22,35,2,0,133,4.75,
R Powell,Rovman Powell,2016-,51,48,979,1,101,21.76,3,0,91.67,5.89,
R A Reifer,Raymon Reifer,2019-,6,5,51,0,27,10.2,6,0,24.83,5.55,
S E Rutherford,Sherfane Rutherford,2023-,22,20,743,1,113,43.71,3,0,51.33,8.64,
J N T Seales,Jayden Seales,2022-,29,12,56,0,29,9.33,40,3,30.08,5.86,
R Shepherd,Romario Shepherd,2019-,42,30,454,0,50,17.46,34,0,42.06,5.49,
K Sinclair,Kevin Sinclair,2022-,7,3,38,0,25,19,11,2,25.64,4.44,
O F Smith,Odean Smith,2022-,9,8,199,0,46,28.43,9,0,29,5.53,
S K Springer,Shamar Springer,2025-,3,2,18,0,12,9,2,0,66.5,7,
O R Thomas,Oshane Thomas,2018-,25,14,22,0,7,3.67,31,2,33.35,6.74,
H R Walsh,Hayden Walsh,2019-,24,13,149,0,46,14.9,28,2,35.75,5.56,
