Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
F A Allen,Fabian Allen,2018-,42,29,298,0,34,14.9,24,0,32.29,7.61,
J Andrew,Jewel Andrew,2025-,5,5,78,0,35,15.6,0,0,  -,  -,
A Athanaze,Alick Athanaze,2024-,15,15,334,0,60,23.86,0,0,  -,16,
A W J Auguste,Ackeem Auguste,2025-,9,8,164,0,50,23.43,0,0,  -,  -,
J Blades,Jediah Blades,2025-,6,3,5,0,3,0,6,0,29.67,8.97,
K U Carty,Keacy Carty,2025-,8,6,80,0,49,16,0,0,  -,  -,
J Charles,Johnson Charles,2011-,69,68,1525,1,118,22.43,0,0,  -,  -,
R L Chase,Roston Chase,2021-,57,42,813,0,67,23.91,38,0,28.11,7.54,
A D S Fletcher,Andre Fletcher,2008-,60,57,985,0,84,19.7,0,0,  -,  -,
M W Forde,Matthew Forde,2023-,25,16,187,0,29,17,23,0,26.78,8.25,
K Gore,Karima Gore,2025-,1,0,0,0,0,0,0,0,  -,7.67,
J P Greaves,Justin Greaves,2024-,2,2,18,0,12,9,0,0,  -,14,
G Gudakesh Motie,Gudakesh Motie,2021-,51,25,205,0,33,14.64,49,1,25.86,7.92,
S O Hetmeyer,Shimron Hetmeyer,2018-,82,72,1593,0,85,24.51,0,0,  -,  -,
T Hinds,Terrance Hinds,2024-,2,1,5,0,5,0,1,0,54,12.46,
J O Holder,Jason Holder,2014-,96,68,888,0,49,18.5,108,6,27.03,8.7,
S D Hope,Shai Hope,2017-,67,65,1672,1,102,29.86,0,0,  -,  -,
A J Hosein,Akeal Hosein,2021-,96,37,293,0,44,14.65,93,3,25.89,7.42,
A A Jangoo,Amir Jangoo,2025-,7,7,163,0,74,32.6,0,0,  -,  -,
A S Joseph,Alzarri Joseph,2022-,45,19,129,0,21,16.13,62,3,24.6,9.24,
S Joseph,Shamar Joseph,2024-,22,7,32,0,21,32,26,1,27.04,9.37,
B A King,Brandon King,2019-,84,82,1973,0,85,25.62,0,0,  -,  -,
E Lewis,Evin Lewis,2016-,67,66,1799,2,125,29.02,0,0,  -,  -,
K R Mayers,Kyle Mayers,2020-,41,39,773,0,73,20.89,2,0,95.5,9.55,
O C McCoy,Obed McCoy,2019-,43,14,68,0,23,9.71,52,3,23.12,8.73,
Z Motara,Zishan Motara,2025-,1,1,3,0,3,3,0,0,  -,13,
Navin Bidaisee,Navin Bidaisee,2025-,3,2,24,0,22,12,3,0,20.67,7.75,
K Pierre,Khary Pierre,2018-,16,8,31,0,11,6.2,11,0,39.82,9.13,
R Powell,Rovman Powell,2017-,117,103,2261,1,107,25.99,5,0,47.2,10.34,
S E Rutherford,Sherfane Rutherford,2018-,53,46,834,0,76,23.17,2,0,46,10.22,
Q Sampson,Quentin Sampson,2026-,3,3,35,0,30,11.67,0,0,  -,  -,
J N T Seales,Jayden Seales,2024-,9,3,7,0,4,7,7,0,44.43,10.37,
R Shepherd,Romario Shepherd,2020-,79,56,909,0,52,28.41,81,2,27.44,10.01,
R R Simmonds,Ramon Simmonds,2025-,4,1,1,0,1,1,6,1,17.5,8.08,
O F Smith,Odean Smith,2018-,27,20,193,0,27,14.85,27,0,28.52,10.27,
S K Springer,Shamar Springer,2024-,6,4,71,0,39,35.5,8,1,14.13,8.07,
O R Thomas,Oshane Thomas,2018-,21,7,9,0,8,2.25,21,1,30.38,9.38,
H R Walsh,Hayden Walsh,2019-,31,10,36,0,12,9,25,0,28.88,8.11,
