Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
B J Bennett,Brian Bennett,2024-,11,11,348,1,169,31.64,0,0,  -,10.2,
R P Burl,Ryan Burl,2017-,52,44,938,0,83,24.68,19,2,40.32,6.3,
J M R Campbell,Johnathan Campbell,2025-,3,2,8,0,6,8,0,0,  -,6.5,
T L Chatara,Tendai Chatara,2013-,87,57,206,0,23,6.44,115,1,32.63,5.29,
T L Chivanga,Tanaka Chivanga,2022-,8,6,25,0,8,8.33,4,0,73.75,5.88,
B J Curran,Benjamin Curran,2024-,8,8,340,1,118,48.57,0,0,  -,  -,
C R Ervine,Craig Ervine,2010-,128,124,3600,4,130,33.03,0,0,  -,  -,
B Evans,Brad Evans,2022-,17,15,129,0,33,10.75,15,1,42.13,5.89,
M Faraz Akram,Faraz Akram,2024-,3,2,6,0,5,3,3,0,54.67,5.86,
J Gumbie,Joylord Gumbie,2023-,16,16,382,0,78,23.88,0,0,  -,  -,
T W Gwandu,Trevor Gwandu,2024-,8,5,7,0,3,3.5,8,0,36.25,6.26,
L M Jongwe,Luke Jongwe,2014-,43,36,430,0,46,13.87,40,1,33.48,5.68,
I Kaia,Innocent Kaia,2022-,19,19,450,1,110,25,0,0,  -,4.71,
T Kaitano,Takudzwanashe Kaitano,2022-,11,11,157,0,42,15.7,0,0,  -,  -,
T S Kamunhukamwe,Tinashe Kamunhukamwe,2018-,12,12,131,0,51,10.92,0,0,  -,  -,
C Madande,Clive Madande,2022-,17,13,287,0,74,23.92,0,0,  -,  -,
W N Madhevere,Wessley Madhevere,2020-,40,37,782,0,72,21.14,15,0,46.33,5.1,
T T Maposa,Tinotenda Maposa,2024-,1,1,0,0,0,0,0,0,  -,8.4,
T Marumani,Tadiwanashe Marumani,2021-,21,19,225,0,45,13.24,0,0,  -,  -,
W P Masakadza,Wellington Masakadza,2015-,42,26,243,0,40,11.05,33,1,43.12,4.88,
E Masuku,Ernest Masuku,2025-,1,0,0,0,0,0,1,0,32,6.4,
B A Mavuta,Brandon Mavuta,2018-,14,10,92,0,28,11.5,10,0,39.6,5.66,
T T Munyonga,Tony Munyonga,2022-,8,8,145,0,43,24.17,0,0,  -,10,
B Muzarabani,Blessing Muzarabani,2018-,57,41,134,0,17,5.15,70,5,33.36,5.16,
D N Myers,Dion Myers,2021-,10,10,154,0,34,15.4,1,0,13,6.5,
R Ngarava,Richard Ngarava,2017-,55,35,272,0,48,12.95,70,2,30.69,5.29,
N Nyamhuri,Newman Nyamhuri,2024-,4,2,8,0,7,4,3,0,44,6,
M Shumba,Milton Shumba,2021-,10,9,57,0,26,8.14,0,0,  -,6.15,
Sikandar Raza,Sikandar Raza,2013-,153,144,4476,7,141,36.99,94,1,43.65,4.85,
Tapiwa Mufudza,Tapiwa Mufudza,2024-,2,1,1,0,1,1,0,0,  -,4.41,
S C Williams,Sean Williams,2005-,164,159,5217,8,174,37.53,86,1,47.64,4.9,
