Name,Known As,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,
B J Bennett,Brian Bennett,2023-,58,58,1888,1,111,36.31,6,0,34,8.38,
R P Burl,Ryan Burl,2018-,118,109,1948,0,67,25.3,62,0,22.95,7.28,
J M R Campbell,Johnathan Campbell,2024-,9,9,123,0,45,15.38,0,0,  -,  -,
T L Chatara,Tendai Chatara,2010-,60,16,49,0,8,8.17,65,0,23.95,7.29,
A G Cremer,Graeme Cremer,2008-,35,21,71,0,17,5.07,40,0,20.73,7.15,
C R Ervine,Craig Ervine,2010-,71,70,1449,0,70,21.95,0,0,  -,  -,
B Evans,Brad Evans,2022-,31,17,140,0,43,10.77,46,1,18,7.99,
M Faraz Akram,Faraz Akram,2020-,10,8,97,0,34,24.25,2,0,128,10.31,
J Gumbie,Joylord Gumbie,2024-,3,3,43,0,17,14.33,0,0,  -,  -,
T W Gwandu,Trevor Gwandu,2023-,19,7,24,0,8,12,16,0,25.94,8.74,
D Jakiel,Daniel Jakiel,2019-,2,0,0,0,0,0,3,0,14.67,6.29,
L M Jongwe,Luke Jongwe,2015-,65,48,509,0,35,15.42,66,1,22.26,8.64,
I Kaia,Innocent Kaia,2021-,19,19,290,0,54,15.26,0,0,  -,4.5,
T S Kamunhukamwe,Tinashe Kamunhukamwe,2020-,15,15,304,0,44,20.27,0,0,  -,  -,
C Madande,Clive Madande,2022-,41,34,493,0,53,18.26,0,0,  -,  -,
W N Madhevere,Wessley Madhevere,2020-,79,74,1256,0,73,19.03,15,0,32.73,7.01,
T T Maposa,Tinotenda Maposa,2024-,21,13,92,0,32,13.14,15,0,36.73,9.45,
T Marumani,Tadiwanashe Marumani,2021-,67,67,1276,0,86,19.94,0,0,  -,  -,
W P Masakadza,Wellington Masakadza,2015-,79,44,260,0,34,8.67,49,2,33.78,7.37,
B A Mavuta,Brandon Mavuta,2018-,13,10,65,0,28,16.25,10,0,28.5,7.31,
N P Mayavo,Nyasha Mayavo,2023-,1,0,0,0,0,0,0,0,  -,  -,
C T Mumba,Carl Mumba,2020-,9,4,39,0,25,13,3,0,63.33,9.05,
T T Munyonga,Tony Munyonga,2019-,41,36,394,0,44,14.07,0,0,  -,3,
T Musekiwa,Tashinga Musekiwa,2026-,3,3,8,0,7,2.67,0,0,  -,  -,
T Musekiwa,Tashinga Musekiwa,2024-,38,32,352,0,28,18.53,0,0,  -,  -,
B Muzarabani,Blessing Muzarabani,2018-,89,30,50,0,9,2.94,106,1,21.35,7.24,
D N Myers,Dion Myers,2021-,37,34,613,0,96,19.77,0,0,  -,12.5,
A Ndlovu,Ainsley Ndlovu,2019-,12,5,33,0,13,16.5,4,0,72.25,8.03,
R Ngarava,Richard Ngarava,2019-,93,37,108,0,12,5.4,114,2,21.37,7.42,
Sikandar Raza,Sikandar Raza,2013-,133,128,3089,1,133,26.63,107,3,23.54,6.88,
N R Welch,Nicholas Welch,2023-,7,7,97,0,25,13.86,0,0,  -,  -,
S C Williams,Sean Williams,2006-,85,84,1805,0,77,23.75,49,0,29.24,6.92,
